Reference, Value, Footprint, Part,Digikey Part Number,Count
C1 C2 C3 C101 C102 C403 C404 C301 C302 C303 C304 C501 C502 C503,.1u,Capacitors_SMD:C_0603_HandSoldering,CC0603ZRY5V9BB104,311-1343-1-ND,13
L401,.9u,cartboard:L_NRS,NRS6028T0R9NMGJV,587-3633-1-ND,1
RP201 RP202,1K,Resistors_SMD:R_Array_Convex_8x0602,EXB-2HV102JV,Y1102CT-ND,2
R501 R502 R503,1K,Resistors_SMD:R_0603_HandSoldering,RC0603FR-071KL,311-1.00KHRCT-ND,3
C401 C402 C405,47u,cartboard:CAP_UCD1H470MCL6GS,UCD1H470MCL6GS,493-6184-1-ND,3
P302 P401 P501 P502 P503,CONN_01X02,cartboard:SCREW_1x2_5.08mm,OSTTC022162,ED2609-ND,5
P101,CONN_01X05,,22232051,WM4203-ND,1
P201 P202,CONN_01X08,cartboard:TERM_BLOCK_1x8_2.54,OSTVN08A150,ED10566-ND,2
U301,CY7C65213-28,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,CY7C65213-28PVXI,CY7C65213-28PVXI-ND,1
U101,CY8C29466,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,CY8C29466-24PVXI,428-1587-ND,1
U302,ISO7321,Housings_SOIC:SOIJ-8_5.3x5.3mm_Pitch1.27mm,ISO7321CDR,296-42102-1-ND,1
D401 D501 D502 D503,MBRS340T3G,Diodes_SMD:SMC_Standard,MBRS340T3G,MBRS340T3GOSCT-ND,4
U401,MC7805CDTRKG,cartboard:D-PAK3,MC7805CDTRKG,MC7805CDTRKGOSCT-ND,1
Q501 Q502 Q503,NTD3055L104,cartboard:D-PAK3,NTD3055L104T4G,NTD3055L104T4GOSCT-ND,3
U201 U202 U203,SP723,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,SP723ABG,F2721-ND,3
P301,USB_OTG,Connect:USB_Mini-B,690-005-299-043,151-1206-1-ND,1
